术语,类别,别名,定义,用途,口径_分子,口径_分母,口径_粒度,口径_时间窗,口径_数据源,指标与阈值,越界后果_高于,越界后果_低于,替代与升级,计算状态,实施状态,口径状态,同名异义,冲突登记,出现档,权威取自,schema
CPCV 多路径分布,验证方法,,组合式净化交叉验证：把时间切块后组合出多条互不重叠的路径，得到**一整个**绩效分布而非单一数字。,单条回测路径只给一个点估计，容易被运气主导。多路径分布才看得出策略稳不稳。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
CPCV 验证判别力,验证方法,,用组合式净化交叉验证得到的多路径绩效分布，判断策略的区分能力是真本事还是运气。,单路径回测只给一个点估计。多路径分布若大面积覆盖 0，说明判别力不成立，不可上线。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
CPCV（组合净化交叉验证）,回测方法,,把时间切成多块后组合出多条互不重叠的训练/测试路径，得到的是判别力的**分布**而非单个点估计。,用于判断一条规则的优势是不是运气。多路径分布若大面积覆盖 0，说明判别力不成立，不可上线。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
CUPED,实验设计,,以实验前协变量对结果做线性调整以削减方差（Deng et al. 2013）。,本窗实测削减仅约一成（ρ≈0.33）——赌局随机性主导，历史输赢对未来预测力弱，故不作主力手段,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
CVaR,军械,,条件在险价值：最差 5% 天的平均亏损（对平台即最差 5% 天平台被赢走的比例均值）。,尾损维（Rockafellar & Uryasev 2000）——量『输起来有多狠』，与均值无关,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
CVaR（条件风险价值）,风险调整收益,,最坏 5% 情形下的平均损失。比 VaR 多回答一句「破了线之后有多惨」。,CAS 指标的分母，对肥尾更稳健。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Cochran's Q,统计推断,,配对二分类结果在 k 个条件下是否一致的检验（McNemar 的多组推广）。,多折/多口径下「命中与否」是否一致：若 Q 显著，说明规则在不同时段表现不稳，不可上线。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Cox 比例风险,军械,,生存分析主力：以风险比刻画协变量对『还能活多久』的影响，处理删失数据。,会员流失概率的估计器（survival 包守卫参赛），产出流失风险分,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
Cox 比例风险模型,生存分析,,建模「还能活多久」，允许右删失（还没流失的人）。,估计会员预期剩余生命期 H——赏罚经济学里罚一刀值不值，全看 H 有多长。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
D-03R / D-03S,项目代号,,日级 ROI 对照导出：R 为原始口径、S 为剔返水口径。,尾段五重显著性检验的输入。**主口径一律用 S（剔返水）**——退水会制造伪盈利。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
D-06,项目代号,,玩家尾段十一项指标导出（S_player_tail.csv）。,尾段裁定与八维能力值的底料。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
DID,未分类,,双重差分（Difference-in-Differences），配合事件研究设计估计处置效应，需平行趋势假设成立。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精；R01前；R01后,R01后,MIN
DX-01,项目代号,,投注产品编码全量普查诊断查询。,确认 bet09 为英文投注产品名，共 23 种。凡涉及庄闲判别的查询跑之前必做。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Deflated 思想,回测方法,,对多次尝试后挑出的最优结果打折，扣除「试得够多总能试出一个好看的」那部分。,阈值网格逐格检验时必用：网格越密，最优格看起来越好，其中相当一部分是选择偏差而非真优势。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Deflated（缩水）思想,验证陷阱,,按**尝试过的策略数量**折减夏普/显著性——试得越多，最好那个越可能是运气。,阈值网格一扫几十格，不做缩水就会挑到运气最好的一格。本方案用折间一致性替代事后校正。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
DragonBonus（龙宝）,投注产品·边注,,押赢方点数差达到门槛，按差值梯度赔付。,★ 名称含 Banker/Player，`LIKE %BANK%` 会把它误纳为主线庄——它与主线**不构成对冲关系**，混入会产出偏高的对押率。判别必须等值匹配。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
E1,⚠ 同名异义·须分立,,⚠ 本项目内 E1 有两个互不相干的含义，禁止混用：①【项目代号】主方案指 Superset 全量查询证据（139 天全窗口）；②【证据分级】D-06 档指证据分级最低档（领域经验／业务启发式）。,①用于标注证据来源管道；②用于标注证据可信层级。,—,—,—,—,—,—,以①之义读②将把『业务启发式』误认为『全量查询实证』——证据等级凭空跃升两级。,反向误读则低估既有证据强度。,建议正名：①改称 E1-SRC（来源代号），②改称 E1-GRADE（证据档位）；在正名前，任何一处出现 E1 均须紧邻注明所取之义。,DEFINED,设计,🔴 最严重之同名异义：两义分属不同维度（来源 vs 可信度），非详略之别。,TRUE,P0-0：本轮新查获。主·商业方案 vs D06基准，概念完全不同。,D06基准；主·商业方案,主·商业方案,FULL8
E2,项目代号,,局部样本证据（上载 CSV 上限 10 万行且为 LIMIT 抽样）。,只可用于语义判读，**不可用于任何比例或阈值结论**。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
EFF,能力值代码,,效率能力：剔除返水后的游戏 ROI，以及胜率相对同产品基准的提升倍数。,分辨「靠赢钱盈利」与「靠返水盈利」，两者处置完全不同,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
EVA,能力值代码,,规避能力：IP 切换、局内换 IP、跨地理跳变。,本窗口不可用——登录日志为网关 IP 且样本落在 2018–19 年，已证伪,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
GGR,博彩业务,,博彩毛收入＝玩家总投注 − 总派彩。庄家赢到的钱。,本方案唯一该被最大化的对象的组成部分。,,,,,,,,,,DEFINED,未标注,（待补）,TRUE,同名异义：3 个版本，见 versions,D06基准；D06高精；R01前；R01后；主·商业方案；主·精要报告,主·商业方案,MIN
GGR集中度,未分类,,少数高价值会员贡献大部分GGR的帕累托（Pareto）分布现象；本报告独立于「靴尾假说」验证，是可持续复用的经营价值发现，与活跃度分层两档报告的既有结论方向一致。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01前；R01后,R01后,MIN
GRU,模型方法,,门控循环网络，处理序列。,读会员逐日流水序列，回答「这个人的行为是不是在演变」。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
INFERRED,未分类,,证据分级：由已锁定事实推得，未经独立外部验证，不得径自升级为 OBSERVED。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精；R01前；R01后,R01后,MIN
IP-S6 / IP-S8,项目代号,,异常 IP 的对押类与结构类判据编号。,同 IP 处置的证据编号，供人工复核追溯。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
IP结构风险,玩家维度,,所在 IP 单链密度（C01.member_per_chain 会员级最大值）乘以（1＋/24 稀疏段命中）。,玩家罚侧维；按设计表所载料源 C-01/C-08 现算；运营商级 NAT 会推高此维，故只作佐证不单独触发,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
Isolation Forest,模型方法,,用随机切分把样本孤立出来所需的次数衡量罕见度。越易孤立越异常。,T4 双闸之一，回答「这个人罕不罕见」。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Jaccard 系数,关联分析,,交集 ÷ 并集。,同桌率的对照口径，避免活跃度差异大的两人被高估。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Jeffreys 区间,误判经济学,,"以 Beta(1/2,1/2) 先验对二项比率求后验分位的小样本置信区间。","误判率的顶级小样本区间（Brown, Cai & DasGupta 2001 推荐）——名单仅数百至数千人，正态近似不可靠",,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
K 均值聚类,军械,,反复把每个人分给最近的群中心、再重算中心，直到稳定（k=4）。,把风险行为分成四种典型模式，措施下到群体层,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
KYC,未分类,,Know Your Customer，客户身份识别与尽职调查流程。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精；R01前；R01后,R01后,MIN
Kaplan–Meier 生存函数 S(t),统计方法,,以观察到的事件与右删失共同估计「至第 t 时点尚未发生事件」的比例，删失者只贡献其在风险集中的时段而不被丢弃。,处置持续期的唯一正当估计法；其无偏性系于**非信息性删失**假设，故删失成因须先分类（WINDOW_END／MEMBER_DATA_END／ACCOUNT_CLOSED），未分类前 S(t) 只能标注「删失机制待证」,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
L0 / L1a / L2b,项目代号,,标签层级：L0 金标准（风控关注 IP 名单）、L1a 人工風險單/劃單、L2b 规则派生。,T4 扩样的种子必须混合来源，只用单一层会让模型学到那条规则本身。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
L1a标签,未分类,,S05 面板 risk_label 之来源：会员日结报表（ods_a168_dailyreport_member）risk='1' 之月内聚合，系风控台人工处置留痕，非算法产物——本报告唯一的外部（非内生）风险标签。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01后,R01后,MIN
Levene 检验,统计推断,,检验多组之间**方差是否齐性**，对非正态比 Bartlett 稳健。,各投注产品胜率的波动是否可比。方差不齐 = 不能共用一条胜率门槛，这是废除统一 70% 的统计依据之一。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Lift,效果度量,,实际值相对基准值的提升倍数；1.0 表示与基准无异。,胜率、命中质量与模型效果一律以它对照基准，避免用绝对值自说自话,,,,,,,,,,DEFINED,未标注,（待补）,TRUE,同名异义：2 个版本，见 versions,主·商业方案；主·精要报告,主·商业方案,MIN
Lift 门槛,效果度量,,判定「确有提升」所需的最低提升倍数。,本方案对上线模型要求相对朴素基线的净增益 Lift > 1，未过即不上线,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Louvain 社群检测,图论,,按模块度最大化把网络切成社群。,把对打对连成网络，找出成规模的团伙链。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Lucky7 / SuperLucky7,投注产品·边注,,押特定点数或牌型组合的高赔率边注。,合计约 753 万注单，属主流边注。投注产品结构熵的重要构成。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
MAN,能力值代码,,操作异常：改单频次与禁投区触碰次数。,待 betchange_log 与 ban_bet_area 两表到位后启用,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
MASE,模型评估,,模型误差 ÷ 朴素基线误差。<1 才算比「什么都不做」强。,全局评估纪律：本报告禁用裸 MAE，一切预测与策略都要跟朴素基线比。,,,,,,,,,,DEFINED,未标注,（待补）,TRUE,同名异义：2 个版本，见 versions,主·商业方案；主·精要报告,主·商业方案,MIN
NGR,经济指标,净游戏收入；Net Gaming Revenue,净博彩收入＝ GGR − 退水成本（视口径另可再扣占成与税费）。,真实盈利口径；一切『提升盈利』之主张最终须落在 NGR 而非 GGR。,GGR − Σrebate（或 -Σnet_pnl）,—,会员／分组／全体,随所在章节,ods_a168_bet02.bet16／bet17,实测（R01∩S05 交集）退水占 GGR 4.251%；洗码口径 hold 1.6364%，扣退水后 1.5668%。,退水/GGR 显著偏高指向退水套利或档位配置失当，直查 T-05／T-08。,偏低多为退水未落库或口径缺列，先查数据完整性再下结论。,退水列缺失时不得以 GGR 代 NGR；须回取 bet16 或改用 -Σnet_pnl 并以恒等式对账。,⚠ 逐档不同：D-06 双档 RECONCILED（恒等式可对账）；R01 双档 UNKNOWN（交付件未输出退水列）,PRODUCTION,「定义存在」≠「本档可算」。引用 NGR 时必须同时声明本档计算状态。,TRUE,P0-3：R01 判 UNKNOWN 不计算，D-06 判可对账。二者皆对——差在交付件列集，非定义分歧。,D06基准；D06高精；R01前；R01后,R01后,FULL8
NGR₃（三扣口径）,口径定义,,GGR 减退水、减占成之余额。**非全口径 NGR**——红利与活动成本在本平台的数据资产内查无承载表，故未纳入。,真实 NGR 必低于 NGR₃，一切以其为分母的比率（利润率、投资回报）皆为**乐观上界**，不得作为承诺。凡本报告出现「NGR」二字，一律指 NGR₃,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
Natural（天牌）,投注产品·边注,,押某方前两张即成 8 或 9 点。,★ 同样含 Banker/Player 字样，同一个误纳陷阱。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Newey-West 稳健标准误,统计推断,,当观测在时间上自相关时，修正后的标准误。,日级序列相邻天高度相关，不修正会把显著性算得虚高。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Nyström 近似,模型方法,,用少量样本近似核矩阵，避免 n×n 爆内存。,核岭回归在 10 万行上直接算要 80GB，用它降到 MB 级。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
OBSERVED,未分类,,证据分级：本文件内可直接复算验证。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精；R01前；R01后,R01后,MIN
OOT（Out-of-Time）,验证方法,,用训练期之后的时间段做检验，而非随机切分。,风控模型必须 OOT 验证：随机切分会让未来信息渗进训练，线上表现必然低于回测。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
OOT（跨期外样本）,回测方法,,用训练期之后的一整段时间做检验，而非随机抽样切分。,风控模型必须过 OOT：随机切分会让同一会员的相邻天分别落进训练与测试两侧，评估结果失真。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
PER,能力值代码,,持续能力：连续盈利月数与跨月重复命中率。,一次好运与长期优势的分界；跨月不稳者不进处置名单,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
PR-AUC,模型评估,,精确率-召回率曲线下面积。正样本极稀少时比 AUC 诚实得多。,125 个正样本的场景下，它才是真指标。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
PSM,未分类,,倾向得分匹配（Propensity Score Matching），准实验方法，用于在观察性数据中构造可比对照组。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精；R01前；R01后,R01后,MIN
PU 校准分类,风险建模,,正例—未标注学习：只有少量确认的正例（金标准），其余一律视为「未标注」而非负例；先拟合 P(已标注|x)，再以留出正例的平均得分校准回 P(风险|x)。,"玩家风险概率维的算法（Elkan & Noto 2008）——本平台只有 1,307 人确认有问题，把其余 12 万人当好人训练必然失真",,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
PU-learning,模型方法,,只有正样本与「未标记」样本（**不是负样本**）时的学习方法。,被查过的是正，没查过的**不等于清白**。当二分类硬训，模型学到的是「查没查过」。Elkan–Noto 校正解决这个。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
PerfectPair,投注产品·边注,,押完全相同的一对（同点同花），庄家优势约 17.1%。,"仅 1,779 人参与，庄家优势最高的投注产品之一。参与者集中度高，适合做小样本个体画像。",,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Player,投注产品·主线,,押闲。闲赢派彩 1:1，理论庄家优势约 1.24%。,对押判别的反方向。押庄+押闲同局同额 = 完美对冲，即打水的标准手法。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
R-01 / R-02 / R-03,项目代号,,三条风控需求：靴末段下注 / 团伙同桌 / 玩家×荷官。,业务方直接提出的三条线，也是 T4 种子的三路来源。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
REB,能力值代码,,返水依赖：配置退水率与实际返水占比之比，以及剔返水后是否仍盈利。,返水档位设计是否失当的直接证据，属成本结构问题而非风控问题,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
ROC,未分类,,Receiver Operating Characteristic 曲线，AUC 即其下面积，衡量排序能力；极端不平衡场景下易虚高，宜与 PR-AUC（Precision-Recall AUC）并看，后者对低基准率更敏感，详见文末参考文献。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06高精,D06高精,MIN
Regime Kernel,模型方法,,先用状态模型分段，再在每段内做核回归。,回答「场内状态切换时，风控阈值该不该换档」。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
RelAE,预测评估,,聚合层的相对绝对误差：|Σ实际−Σ预测| ÷ |Σ实际−Σ朴素外推|。,实体级与十分位组的对内刻度（表 6）。与会员级 RelMAE 的差别在于先聚合后取绝对值，组内正负相消时两者可差出数量级,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
RelAE（组级）,预测评估,,聚合层的相对绝对误差：|Σ实际−Σ预测| ÷ |Σ实际−Σ朴素|。,本报告十分位组与实体级所用者实为此量，非以样本内朴素 MAE 为尺的标准 MASE——二者在组内正负相消时可差出数量级，故自此分名,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
RelMAE,预测评估,,相对平均绝对误差：本法的平均绝对误差 ÷ **样本外朴素外推**的同期平均绝对误差。小于 1 即胜过朴素。,会员级预测的对内刻度（图 5）。与标准 MASE 分名，因后者以**样本内**朴素 MAE 为尺；此处分母取样本外，故正名。**单看有陷阱**：分母是朴素基准的误差，朴素越烂此数越好看，须与 WAPE、Bias 并读,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
S1,未分类,,严重度分级最高档 FATAL：口径或数据层面的致命缺陷，未结前相关结论不得进入生产判定链。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精；R01前；R01后,R01后,MIN
Small,投注产品·边注,,押本局总发牌数为「小」（4 张），理论庄家优势约 5.3%。,与 Big 互补。参与人数仅 729 人，个体行为极易识别。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Sortino 下行比,风险建模,,平均收益除以下行标准差（只计亏损那一侧的波动）。,稳定盈利维的判据（Sortino & van der Meer 1991）——持续正向优势的特征是「赢得稳」，不是「赢得多」，普通标准差会把大赢大输者误判为高风险,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
Super6,投注产品·边注,,免佣桌配套：庄以 6 点赢时减半派彩或另设赔率。,佣金模式判读要点：免佣桌的金额符号规则与一般桌不同，对账时必须分开看。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
T1,风险用户代号,,串谋型：多账户协同下注，以同局共 IP、对押率、选项一致率判别。,四类风险用户的第一类，处置走调查程序,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
T1 / T2 / T3 / T4,项目代号,,四类风险用户：同IP盈利 / 持续正向优势候选 / 打水型 / 聚类扩散。,T1–T3 是判别问题，T4 是扩样问题，处置落点各不相同。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
T2,风险用户代号,,持续正向优势候选：净赢为正且波动极低者，以索提诺与 CAS 判别。**只是候选，不是定论**——持续正向优势不等同于技术，更不等同于作弊。,作为筛查信号进入调查队列；判为异常须另有结构证据，不得以「赢得稳」直接定性,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
T3,风险用户代号,,打水型：靠返水而非靠赢钱盈利，剔返水后即亏。,属成本结构问题，处置为调整返水档位而非风控处分,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
T4,风险用户代号,,扩样：以已确认的风险对象为种子，在特征矩阵上找相似者。,不是判别而是**扩样**，产出候选名单交人工复核,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
TIM,能力值代码,,时机能力：下注进度分位（按桌分层）与胜率差。,衡量是否总在特定时点下注；视频延迟不可得，现以点击流代理,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Tie,投注产品·和局,,押和。通常 1:8，理论庄家优势高达约 14.4%。,**正常胜率仅约 9.48%**。若与庄闲同用一条 70% 胜率线，押和的玩家会永久免检——这是废除统一 70% 门槛的直接理由。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Transformer,模型方法,,自注意力网络。注意力权重可解释为「哪几步最关键」。,GRU 的挑战者，附带「哪几天最关键」的可解释输出。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
