n,module,old,new,src,grain,window,metric,note
1,A_anchor.csv,rebate_pct_config,xagg__G01__base__rebate_pct_config,xagg,G01,base,rebate_pct_config,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,turnover_multiple,xagg__G01__base__turnover_multiple,xagg,G01,base,turnover_multiple,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,free_comm_rate,xagg__G01__base__free_comm_rate,xagg,G01,base,free_comm_rate,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,roi_delta_recent,xagg__G01__recent__roi_delta,xagg,G01,recent,roi_delta,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,first_seen,xagg__G01__base__first_seen,xagg,G01,base,first_seen,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,last_seen,xagg__G01__base__last_seen,xagg,G01,base,last_seen,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,active_days,xagg__G01__base__active_days,xagg,G01,base,active_days,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,active_shoes,xagg__G01__base__active_shoes,xagg,G01,base,active_shoes,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,active_sessions,xagg__G01__base__active_sessions,xagg,G01,base,active_sessions,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,span_days,xagg__G01__base__span_days,xagg,G01,base,span_days,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,persistence,xagg__G01__base__persistence,xagg,G01,base,persistence,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,ramp_recent,xagg__G01__recent__ramp,xagg,G01,recent,ramp,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,ramp_recent,xagg__G01__recent__ramp,xagg,G01,recent,ramp,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,stake_ramp,xagg__G01__base__stake_ramp,xagg,G01,base,stake_ramp,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,vip_tier,xagg__G01__base__vip_tier,xagg,G01,base,vip_tier,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,economic_value,xagg__G01__base__economic_value,xagg,G01,base,economic_value,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,risk_value,xagg__G01__base__risk_value,xagg,G01,base,risk_value,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,pr_stake,xagg__G01__base__pr_stake,xagg,G01,base,pr_stake,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,action_priority,xagg__G01__base__action_priority,xagg,G01,base,action_priority,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,stake,xagg__G02__base__stake,xagg,G02,base,stake,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,valid_bet,xagg__G02__base__valid_bet,xagg,G02,base,valid_bet,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,profit,xagg__G02__base__profit,xagg,G02,base,profit,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,n_bets,xagg__G02__base__n_bets,xagg,G02,base,n_bets,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,n_rounds,xagg__G02__base__n_rounds,xagg,G02,base,n_rounds,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,roi,xagg__G02__base__roi,xagg,G02,base,roi,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,roi_recent,xagg__G02__recent__roi,xagg,G02,recent,roi,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,roi_non_recent,xagg__G02__non_recent__roi,xagg,G02,non_recent,roi,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,roi_ex_rebate,xagg__G02__base__roi_ex_rebate,xagg,G02,base,roi_ex_rebate,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,roi_numerator,xagg__G02__base__roi_numerator,xagg,G02,base,roi_numerator,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,roi_denominator,xagg__G02__base__roi_denominator,xagg,G02,base,roi_denominator,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,roi_denominator_status,xagg__G02__base__roi_denominator_status,xagg,G02,base,roi_denominator_status,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,rebate_cost,xagg__G02__base__rebate_cost,xagg,G02,base,rebate_cost,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,agent_cost,xagg__G02__base__agent_cost,xagg,G02,base,agent_cost,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,net_margin,xagg__G02__base__net_margin,xagg,G02,base,net_margin,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,net_margin_rate,xagg__G02__base__net_margin_rate,xagg,G02,base,net_margin_rate,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,avg_stake_per_bet,xagg__G02__base__avg_stake_per_bet,xagg,G02,base,avg_stake_per_bet,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,avg_valid_bet_per_round,xagg__G02__base__avg_valid_bet_per_round,xagg,G02,base,avg_valid_bet_per_round,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,avg_profit_per_round,xagg__G02__base__avg_profit_per_round,xagg,G02,base,avg_profit_per_round,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,avg_profit_per_day,xagg__G02__base__avg_profit_per_day,xagg,G02,base,avg_profit_per_day,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,avg_profit_per_shoe,xagg__G02__base__avg_profit_per_shoe,xagg,G02,base,avg_profit_per_shoe,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,avg_stake_per_active_day,xagg__G02__base__avg_stake_per_active_day,xagg,G02,base,avg_stake_per_active_day,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,avg_rounds_per_active_day,xagg__G02__base__avg_rounds_per_active_day,xagg,G02,base,avg_rounds_per_active_day,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,avg_stake_recent,xagg__G02__recent__avg_stake,xagg,G02,recent,avg_stake,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,avg_stake_non_recent,xagg__G02__non_recent__avg_stake,xagg,G02,non_recent,avg_stake,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,p25_stake,xagg__G02__base__p25_stake,xagg,G02,base,p25_stake,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,p50_stake,xagg__G02__base__p50_stake,xagg,G02,base,p50_stake,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,p75_stake,xagg__G02__base__p75_stake,xagg,G02,base,p75_stake,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,p90_stake,xagg__G02__base__p90_stake,xagg,G02,base,p90_stake,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,p95_stake,xagg__G02__base__p95_stake,xagg,G02,base,p95_stake,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,p99_stake,xagg__G02__base__p99_stake,xagg,G02,base,p99_stake,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,p50_valid_bet,xagg__G02__base__p50_valid_bet,xagg,G02,base,p50_valid_bet,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,p50_profit,xagg__G02__base__p50_profit,xagg,G02,base,p50_profit,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,p95_over_p50,xagg__G02__base__p95_over_p50,xagg,G02,base,p95_over_p50,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,p99_over_p50,xagg__G02__base__p99_over_p50,xagg,G02,base,p99_over_p50,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,avg_over_p50,xagg__G02__base__avg_over_p50,xagg,G02,base,avg_over_p50,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,common_table_count,xagg__G02__base__common_table_count,xagg,G02,base,common_table_count,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,common_dealer_count,xagg__G02__base__common_dealer_count,xagg,G02,base,common_dealer_count,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,common_ip_count,xagg__G02__base__common_ip_count,xagg,G02,base,common_ip_count,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,common_product_count,xagg__G02__base__common_product_count,xagg,G02,base,common_product_count,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,share_recent,xagg__G02__recent__share,xagg,G02,recent,share,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,hold_rate,xagg__G02__base__hold_rate,xagg,G02,base,hold_rate,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,hold_rate_recent,xagg__G02__recent__hold_rate,xagg,G02,recent,hold_rate,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,rebate_rate_actual,xagg__G02__base__rebate_rate_actual,xagg,G02,base,rebate_rate_actual,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,rebate_pct_config,xagg__G02__base__rebate_pct_config,xagg,G02,base,rebate_pct_config,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,turnover_multiple,xagg__G02__base__turnover_multiple,xagg,G02,base,turnover_multiple,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,free_comm_rate,xagg__G02__base__free_comm_rate,xagg,G02,base,free_comm_rate,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,roi_delta_recent,xagg__G02__recent__roi_delta,xagg,G02,recent,roi_delta,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,first_seen,xagg__G02__base__first_seen,xagg,G02,base,first_seen,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,last_seen,xagg__G02__base__last_seen,xagg,G02,base,last_seen,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,active_days,xagg__G02__base__active_days,xagg,G02,base,active_days,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,active_shoes,xagg__G02__base__active_shoes,xagg,G02,base,active_shoes,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,active_sessions,xagg__G02__base__active_sessions,xagg,G02,base,active_sessions,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,span_days,xagg__G02__base__span_days,xagg,G02,base,span_days,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,persistence,xagg__G02__base__persistence,xagg,G02,base,persistence,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,ramp_recent,xagg__G02__recent__ramp,xagg,G02,recent,ramp,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,ramp_recent,xagg__G02__recent__ramp,xagg,G02,recent,ramp,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,stake_ramp,xagg__G02__base__stake_ramp,xagg,G02,base,stake_ramp,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,vip_tier,xagg__G02__base__vip_tier,xagg,G02,base,vip_tier,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,economic_value,xagg__G02__base__economic_value,xagg,G02,base,economic_value,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,risk_value,xagg__G02__base__risk_value,xagg,G02,base,risk_value,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,pr_stake,xagg__G02__base__pr_stake,xagg,G02,base,pr_stake,P0-1 需按本件 grain 重聚合后方可用此名
2,B01_bt_panel.csv,action_priority,xagg__G02__base__action_priority,xagg,G02,base,action_priority,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,stake,xagg__G02__base__stake,xagg,G02,base,stake,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,valid_bet,xagg__G02__base__valid_bet,xagg,G02,base,valid_bet,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,profit,xagg__G02__base__profit,xagg,G02,base,profit,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,n_bets,xagg__G02__base__n_bets,xagg,G02,base,n_bets,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,n_rounds,xagg__G02__base__n_rounds,xagg,G02,base,n_rounds,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,roi,xagg__G02__base__roi,xagg,G02,base,roi,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,roi_recent,xagg__G02__recent__roi,xagg,G02,recent,roi,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,roi_non_recent,xagg__G02__non_recent__roi,xagg,G02,non_recent,roi,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,roi_ex_rebate,xagg__G02__base__roi_ex_rebate,xagg,G02,base,roi_ex_rebate,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,roi_numerator,xagg__G02__base__roi_numerator,xagg,G02,base,roi_numerator,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,roi_denominator,xagg__G02__base__roi_denominator,xagg,G02,base,roi_denominator,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,roi_denominator_status,xagg__G02__base__roi_denominator_status,xagg,G02,base,roi_denominator_status,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,rebate_cost,xagg__G02__base__rebate_cost,xagg,G02,base,rebate_cost,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,agent_cost,xagg__G02__base__agent_cost,xagg,G02,base,agent_cost,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,net_margin,xagg__G02__base__net_margin,xagg,G02,base,net_margin,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,net_margin_rate,xagg__G02__base__net_margin_rate,xagg,G02,base,net_margin_rate,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,avg_stake_per_bet,xagg__G02__base__avg_stake_per_bet,xagg,G02,base,avg_stake_per_bet,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,avg_valid_bet_per_round,xagg__G02__base__avg_valid_bet_per_round,xagg,G02,base,avg_valid_bet_per_round,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,avg_profit_per_round,xagg__G02__base__avg_profit_per_round,xagg,G02,base,avg_profit_per_round,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,avg_profit_per_day,xagg__G02__base__avg_profit_per_day,xagg,G02,base,avg_profit_per_day,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,avg_profit_per_shoe,xagg__G02__base__avg_profit_per_shoe,xagg,G02,base,avg_profit_per_shoe,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,avg_stake_per_active_day,xagg__G02__base__avg_stake_per_active_day,xagg,G02,base,avg_stake_per_active_day,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,avg_rounds_per_active_day,xagg__G02__base__avg_rounds_per_active_day,xagg,G02,base,avg_rounds_per_active_day,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,avg_stake_recent,xagg__G02__recent__avg_stake,xagg,G02,recent,avg_stake,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,avg_stake_non_recent,xagg__G02__non_recent__avg_stake,xagg,G02,non_recent,avg_stake,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,p25_stake,xagg__G02__base__p25_stake,xagg,G02,base,p25_stake,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,p50_stake,xagg__G02__base__p50_stake,xagg,G02,base,p50_stake,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,p75_stake,xagg__G02__base__p75_stake,xagg,G02,base,p75_stake,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,p90_stake,xagg__G02__base__p90_stake,xagg,G02,base,p90_stake,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,p95_stake,xagg__G02__base__p95_stake,xagg,G02,base,p95_stake,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,p99_stake,xagg__G02__base__p99_stake,xagg,G02,base,p99_stake,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,p50_valid_bet,xagg__G02__base__p50_valid_bet,xagg,G02,base,p50_valid_bet,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,p50_profit,xagg__G02__base__p50_profit,xagg,G02,base,p50_profit,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,p95_over_p50,xagg__G02__base__p95_over_p50,xagg,G02,base,p95_over_p50,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,p99_over_p50,xagg__G02__base__p99_over_p50,xagg,G02,base,p99_over_p50,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,avg_over_p50,xagg__G02__base__avg_over_p50,xagg,G02,base,avg_over_p50,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,common_table_count,xagg__G02__base__common_table_count,xagg,G02,base,common_table_count,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,common_dealer_count,xagg__G02__base__common_dealer_count,xagg,G02,base,common_dealer_count,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,common_ip_count,xagg__G02__base__common_ip_count,xagg,G02,base,common_ip_count,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,common_product_count,xagg__G02__base__common_product_count,xagg,G02,base,common_product_count,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,share_recent,xagg__G02__recent__share,xagg,G02,recent,share,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,hold_rate,xagg__G02__base__hold_rate,xagg,G02,base,hold_rate,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,hold_rate_recent,xagg__G02__recent__hold_rate,xagg,G02,recent,hold_rate,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,rebate_rate_actual,xagg__G02__base__rebate_rate_actual,xagg,G02,base,rebate_rate_actual,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,rebate_pct_config,xagg__G02__base__rebate_pct_config,xagg,G02,base,rebate_pct_config,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,turnover_multiple,xagg__G02__base__turnover_multiple,xagg,G02,base,turnover_multiple,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,free_comm_rate,xagg__G02__base__free_comm_rate,xagg,G02,base,free_comm_rate,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,roi_delta_recent,xagg__G02__recent__roi_delta,xagg,G02,recent,roi_delta,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,first_seen,xagg__G02__base__first_seen,xagg,G02,base,first_seen,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,last_seen,xagg__G02__base__last_seen,xagg,G02,base,last_seen,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,active_days,xagg__G02__base__active_days,xagg,G02,base,active_days,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,active_shoes,xagg__G02__base__active_shoes,xagg,G02,base,active_shoes,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,active_sessions,xagg__G02__base__active_sessions,xagg,G02,base,active_sessions,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,span_days,xagg__G02__base__span_days,xagg,G02,base,span_days,P0-1 需按本件 grain 重聚合后方可用此名
3,B01_bt_panel_delta.csv,persistence,xagg__G02__base__persistence,xagg,G02,base,persistence,P0-1 需按本件 grain 重聚合后方可用此名
