module_id,csv_name,m_code,m_name,business_domain,entity,grain,source_tables,output_columns,fact_or_derived,has_net_margin,net_margin_trust,risk_usage,join_type,join_key,upstream_dependency,status
068,R01inv_shoe_len_census.csv,M03,尾段投注,A 风险识别,桌台,n_tables × n_shoes × mean_len,agent|bet02,82,AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
069,R02_same_table.csv,M01,同桌团伙,A 风险识别,会员,uid1 × uid2 × n_same_orders,bet02,75,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,uid1,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
070,R03_player_dealer.csv,M07,荷官关联,C 平台经营,会员,uid × dealer_id × is_sentinel_dealer,bet02,96,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,uid,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
071,R03b_player_dealer_daily.csv,M07,荷官关联,C 平台经营,会员,p.bet_date × p.member_id × p.dealer_id × p.is_sentinel_dealer,bet02,87,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,uid,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
072,R03chk_settlement_form.csv,M07,荷官关联,C 平台经营,投注面,UPPER(TRIM(bet_side)),bet02,69,AUDIT,TRUE,OK,REFERENCE,LEFT,bet_side,bet02 canonical → q(本件粒度) + x_agg(product),HF1 可执行
073,R03inv_pair_census.csv,M07,荷官关联,C 平台经营,会员配对,1 × 2,bet02,69,AUDIT,TRUE,INVALID·笛卡尔广播,SCREENING,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
074,R_rebate_dist.csv,M05,退水套利,A 风险识别,全窗/元数据,mem003,bet02|member_dtl,66,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
075,S01_player_score.csv,M15,活跃周期,B 会员画像,会员,b.member_id,agent|bet02|dailyreport_member,74,RANKING/DECISION,TRUE,OK,PRIMARY,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
076,S02_dealer_score.csv,M07,荷官关联,C 平台经营,荷官,b.dealer_id,agent|bet02|game_info,72,RANKING/DECISION,TRUE,OK,SUPPORT,LEFT,dealer_id,bet02 canonical → q(本件粒度) + x_agg(dealer),HF1 可执行
077,S02b_dealer_pace.csv,M07,荷官关联,C 平台经营,荷官,d.dealer_id,agent|bet02|game_info,66,AGG/DERIVED,TRUE,OK,SUPPORT,LEFT,dealer_id,bet02 canonical → q(本件粒度) + x_agg(dealer),HF1 可执行
078,S03_agent_score.csv,M06,代理线,C 平台经营,代理线,b.lv3,agent|bet02,72,RANKING/DECISION,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
079,S04_analyst_score.csv,R01,风控专员,C 平台经营,风控专员,"COALESCE(NULLIF(TRIM(creator), ''), '未署名')",alert_ip_setting|bet02,70,RANKING/DECISION,TRUE,NULL·跨实体未命中,NOT_FOR_DECISION,LEFT,entity_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
080,S05_member_month_panel.csv,M15,活跃周期,B 会员画像,会员,"b.member_id × DATE_TRUNC('month', b.bet_date)",agent|bet02|dailyreport_member,73,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
081,S_player_tail.csv,M15,活跃周期,B 会员画像,会员,member_id,agent|bet02,81,AGG/DERIVED,TRUE,OK,PRIMARY,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
082,S_second_dist.csv,M15,活跃周期,B 会员画像,桌台,table_id,agent|bet02|game_info,71,AGG/DERIVED,TRUE,OK,SUPPORT,LEFT,table_id,bet02 canonical → q(本件粒度) + x_agg(table),HF1 可执行
083,T02_daily_roi.csv,M15,活跃周期,B 会员画像,会员,o.member_id × o.bet_date,agent|bet02,68,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
084,T03_arbitrage.csv,M02,对冲对打,A 风险识别,会员,member_id,agent|bet02,73,AGG/DERIVED,TRUE,OK,PRIMARY,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
085,TL00_table_inventory.csv,Z00,基建/元数据,F 元数据字典,桌台,c.TABLE_NAME,bet02,68,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
086,TL02_config_change.csv,M09,处置限额,D 处置与因果,全窗/元数据,变更列,bet02|member_dtl,67,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
087,TL03_pseudo_treatment.csv,M09,处置限额,D 处置与因果,会员,member_id × change_date × action_type,bet02|member_dtl,69,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
088,TL03b_pseudo_treatment.csv,M09,处置限额,D 处置与因果,会员,member_id × cate × prev_date,bet02|member_dtl,71,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
089,TL04_log_schema.csv,Z00,基建/元数据,F 元数据字典,桌台,TABLE_NAME × ORDINAL_POSITION × COLUMN_NAME,bet02,68,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
090,TL06_log_mem_change.csv,Z00,基建/元数据,F 元数据字典,日期,dt,bet02|log_mem_change,65,METADATA/AUDIT,TRUE,OK,REFERENCE,LEFT,dt,bet02 canonical → q(本件粒度) + x_agg(date),HF1 可执行
091,TL07_mem_change_shape.csv,M09,处置限额,D 处置与因果,全窗/元数据,1,bet02|log_mem_change,73,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
092,TL08_treatment_events.csv,M09,处置限额,D 处置与因果,会员,member_id × action_date × action_time,bet02|log_mem_change,72,METADATA/AUDIT,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
