源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,_2,_3,_4,_5,来源库,来源表,ODS表名,同步时间
38af86134b65d0f10fe33d30dd76442e,2019-02-19,176,6719I6A4E70268A168E63,2019-02-19T10:05:00Z,110.74.214.41,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
a87ff679a2f3e71d9181a67b7542122c,2016-08-30,4,40E8617H4G9D7F83768A6,2016-08-30T17:38:10Z,59.126.117.228,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
caf1a3dfb505ffed0d024130f58c5cfa,2018-08-08,321,1236E89A9G6A30792A166,2018-08-08T07:55:34Z,43.230.62.157,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
8d3bba7425e7c98c50f52ca1b52d3735,2019-01-30,319,9139F9C1A40283A168E63,2019-01-30T00:40:18Z,103.69.68.8,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
8f53295a73878494e9bc8dd6c3c7104f,2020-07-06,179,979D4H3A50046A168E612,2020-07-06T16:09:45Z,"",1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
96da2f590cd7246bbde0051047b0d6f7,2020-07-06,177,779A3A6A80257A168E612,2020-07-06T16:12:05Z,"",1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
320722549d1751cf3f247855f937b982,2018-07-19,320,02369E7C8C90256A168E4,2018-07-19T13:42:08Z,103.69.68.12,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
5f93f983524def3dca464469d2cf9f3e,2016-07-05,110,01109A9H1C70734A168E4,2016-07-05T14:08:45Z,59.126.117.228,0,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
f033ab37c30201f73f142449d037028d,2016-07-04,80,088C8E1A4A24631A168E02,2016-07-04T12:27:16Z,118.170.46.111,0,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
c9f0f895fb98ab9159f51fd0297e236d,2016-08-29,8,86E861A7D6D5E4G520887,2016-08-29T13:33:51Z,59.126.117.228,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
e4da3b7fbbce2345d7772b0674a318d5,2016-07-25,5,50E8617C3C4B2H80100A6,2016-07-25T14:21:54Z,59.126.117.228,0,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
8f14e45fceea167a5a36dedd4bea2543,2020-07-07,7,76E7E2C2H2C73156A1683,2020-07-07T11:09:44Z,"",1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
1f0e3dad99908345f7439f8ffabdffc4,2016-06-15,19,916E8519647174264A1684,2016-06-15T16:53:45Z,111.253.88.27,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
5737c6ec2e0716f3d8a7a5c4e0de0d9a,2018-07-22,322,2236E869F9E1G40257A17,2018-07-22T05:37:47Z,103.69.68.12,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
58a2fc6ed39fd083f55d4182bf88826d,2019-01-03,192,2919B4H1C40131A168E63,2019-01-03T14:43:05Z,211.75.195.55,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
