源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,mem_id,site,sid,this_login,last_login,ip,info,on_line,来源库,来源表,ODS表名,同步时间
1678182,2018-12-20,1678182,0,,2018-12-20T17:01:02Z,2018-12-19 16:43:57,54.249.132.152,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:50Z
1685717,2018-12-20,1685717,0,,2018-12-20T14:01:01Z,2018-12-19 13:11:16,182.16.51.130,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:50Z
1696555,2018-12-20,1696555,0,,2018-12-20T16:01:01Z,0000-00-00 00:00:00,206.189.45.10,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:50Z
1724326,2018-12-20,1724326,0,,2018-12-20T06:01:01Z,0000-00-00 00:00:00,202.134.85.212,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:57:14Z
1728829,2018-12-20,1728829,0,,2018-12-20T21:01:01Z,2018-12-19 20:49:11,175.98.118.198,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:57:14Z
1743227,2018-12-20,1743227,0,,2018-12-20T14:01:01Z,2018-12-19 13:26:12,125.252.102.57,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:57:14Z
1756120,2018-12-20,1756120,0,,2018-12-20T21:01:01Z,2018-12-19 20:46:27,103.67.207.189,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:57:14Z
1766969,2018-12-20,1766969,0,,2018-12-20T00:01:01Z,2018-12-18 23:21:20,119.81.162.133,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:57:14Z
1788011,2018-12-20,1788011,0,,2018-12-20T15:01:01Z,2018-12-19 13:33:42,47.52.200.196,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:57:14Z
1792231,2018-12-20,1792231,0,,2018-12-20T02:01:01Z,2018-12-15 00:01:11,119.81.162.133,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1792729,2018-12-20,1792729,0,,2018-12-20T19:01:01Z,2018-12-19 18:07:10,103.67.205.48,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1797270,2018-12-20,1797270,0,,2018-12-20T13:01:01Z,0000-00-00 00:00:00,103.35.205.126,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1798891,2018-12-20,1798891,0,,2018-12-20T00:01:01Z,2018-12-18 23:36:13,118.107.177.208,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1800203,2018-12-20,1800203,0,,2018-12-20T00:01:01Z,2018-12-17 12:02:29,54.95.58.7,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1804308,2018-12-20,1804308,0,,2018-12-20T00:01:01Z,2018-12-18 23:10:37,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1807396,2018-12-20,1807396,0,,2018-12-20T04:01:01Z,2018-12-17 00:01:01,119.81.162.133,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1809326,2018-12-20,1809326,0,,2018-12-20T21:01:01Z,2018-12-19 20:20:13,103.67.207.183,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1809663,2018-12-20,1809663,0,,2018-12-20T16:01:01Z,2018-12-17 00:01:01,52.194.82.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1815531,2018-12-20,1815531,0,,2018-12-20T18:01:01Z,2018-12-19 17:36:46,118.107.177.208,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1819048,2018-12-20,1819048,0,,2018-12-20T02:01:01Z,2018-12-19 01:16:27,119.81.162.133,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1819403,2018-12-20,1819403,0,,2018-12-20T01:01:01Z,2018-12-18 22:02:34,223.27.48.190,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1821010,2018-12-20,1821010,0,,2018-12-20T22:01:02Z,2018-12-19 21:16:11,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1822315,2018-12-20,1822315,0,,2018-12-20T20:01:01Z,2018-12-19 12:01:01,175.98.118.202,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1822535,2018-12-20,1822535,0,,2018-12-20T13:01:01Z,2018-12-19 12:35:12,125.252.102.57,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1823199,2018-12-20,1823199,0,,2018-12-20T01:01:01Z,0000-00-00 00:00:00,125.252.102.57,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1823973,2018-12-20,1823973,0,,2018-12-20T15:01:01Z,2018-12-18 17:06:00,13.251.15.192,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1824701,2018-12-20,1824701,0,,2018-12-20T11:01:01Z,2018-12-18 19:41:54,175.98.118.199,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1824729,2018-12-20,1824729,0,,2018-12-20T17:01:02Z,2018-12-19 16:18:37,118.107.177.208,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1824813,2018-12-20,1824813,0,,2018-12-20T09:01:01Z,2018-12-19 08:29:30,54.95.58.7,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1825519,2018-12-20,1825519,0,,2018-12-20T02:01:01Z,2018-12-18 22:30:01,119.81.162.133,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1825860,2018-12-20,1825860,0,,2018-12-20T00:01:01Z,0000-00-00 00:00:00,52.199.191.204,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1825938,2018-12-20,1825938,0,,2018-12-20T00:01:01Z,0000-00-00 00:00:00,119.81.162.133,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1825984,2018-12-20,1825984,0,,2018-12-20T00:01:01Z,0000-00-00 00:00:00,175.98.118.202,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826080,2018-12-20,1826080,0,,2018-12-20T00:01:01Z,0000-00-00 00:00:00,13.250.126.119,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826094,2018-12-20,1826094,0,,2018-12-20T00:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826170,2018-12-20,1826170,0,,2018-12-20T00:01:01Z,0000-00-00 00:00:00,119.81.162.133,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826274,2018-12-20,1826274,0,,2018-12-20T06:01:01Z,2018-12-19 05:13:58,180.178.60.218,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826365,2018-12-20,1826365,0,,2018-12-20T01:01:01Z,0000-00-00 00:00:00,13.251.15.192,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826371,2018-12-20,1826371,0,,2018-12-20T01:01:01Z,0000-00-00 00:00:00,119.81.162.133,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826463,2018-12-20,1826463,0,,2018-12-20T01:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826545,2018-12-20,1826545,0,,2018-12-20T02:01:01Z,2018-12-19 01:19:05,60.198.152.131,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826551,2018-12-20,1826551,0,,2018-12-20T02:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826579,2018-12-20,1826579,0,,2018-12-20T03:01:01Z,0000-00-00 00:00:00,52.199.191.204,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826587,2018-12-20,1826587,0,,2018-12-20T02:01:01Z,0000-00-00 00:00:00,175.98.118.198,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826603,2018-12-20,1826603,0,,2018-12-20T02:01:01Z,0000-00-00 00:00:00,175.98.118.200,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826719,2018-12-20,1826719,0,,2018-12-20T02:01:01Z,0000-00-00 00:00:00,175.98.118.202,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826744,2018-12-20,1826744,0,,2018-12-20T03:01:01Z,0000-00-00 00:00:00,175.98.118.203,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826773,2018-12-20,1826773,0,,2018-12-20T03:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826778,2018-12-20,1826778,0,,2018-12-20T03:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826792,2018-12-20,1826792,0,,2018-12-20T06:01:01Z,2018-12-19 02:15:28,182.16.51.130,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826799,2018-12-20,1826799,0,,2018-12-20T03:01:01Z,0000-00-00 00:00:00,175.98.118.202,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826823,2018-12-20,1826823,0,,2018-12-20T03:01:01Z,2018-12-19 02:22:10,13.250.126.119,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826828,2018-12-20,1826828,0,,2018-12-20T03:01:01Z,2018-12-19 02:23:17,13.251.15.192,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826849,2018-12-20,1826849,0,,2018-12-20T03:01:01Z,0000-00-00 00:00:00,182.16.51.130,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1826875,2018-12-20,1826875,0,,2018-12-20T03:01:01Z,2018-12-19 02:37:37,202.134.85.212,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827025,2018-12-20,1827025,0,,2018-12-20T04:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827245,2018-12-20,1827245,0,,2018-12-20T05:01:01Z,0000-00-00 00:00:00,119.81.162.133,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827404,2018-12-20,1827404,0,,2018-12-20T05:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827452,2018-12-20,1827452,0,,2018-12-20T06:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827543,2018-12-20,1827543,0,,2018-12-20T06:01:01Z,2018-12-19 05:51:49,60.198.152.130,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827581,2018-12-20,1827581,0,,2018-12-20T07:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827794,2018-12-20,1827794,0,,2018-12-20T08:01:01Z,0000-00-00 00:00:00,175.98.118.202,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827806,2018-12-20,1827806,0,,2018-12-20T08:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827819,2018-12-20,1827819,0,,2018-12-20T08:01:01Z,0000-00-00 00:00:00,61.244.216.107,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827903,2018-12-20,1827903,0,,2018-12-20T09:01:01Z,2018-12-19 08:49:43,175.98.118.202,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827908,2018-12-20,1827908,0,,2018-12-20T09:01:01Z,0000-00-00 00:00:00,54.95.58.7,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827917,2018-12-20,1827917,0,,2018-12-20T10:01:02Z,2018-12-19 09:49:07,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1827920,2018-12-20,1827920,0,,2018-12-20T09:01:01Z,0000-00-00 00:00:00,54.95.58.7,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828024,2018-12-20,1828024,0,,2018-12-20T10:01:02Z,0000-00-00 00:00:00,175.98.118.202,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828051,2018-12-20,1828051,0,,2018-12-20T10:01:02Z,2018-12-19 09:49:40,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828121,2018-12-20,1828121,0,,2018-12-20T11:01:01Z,2018-12-19 10:19:22,52.194.82.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828140,2018-12-20,1828140,0,,2018-12-20T11:01:01Z,0000-00-00 00:00:00,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828154,2018-12-20,1828154,0,,2018-12-20T11:01:01Z,0000-00-00 00:00:00,175.98.118.204,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828189,2018-12-20,1828189,0,,2018-12-20T11:01:01Z,0000-00-00 00:00:00,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828196,2018-12-20,1828196,0,,2018-12-20T11:01:01Z,0000-00-00 00:00:00,175.98.118.203,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828219,2018-12-20,1828219,0,,2018-12-20T12:01:01Z,0000-00-00 00:00:00,103.27.184.85,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828299,2018-12-20,1828299,0,,2018-12-20T12:01:01Z,0000-00-00 00:00:00,119.9.112.113,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828303,2018-12-20,1828303,0,,2018-12-20T12:01:01Z,0000-00-00 00:00:00,175.98.118.204,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828334,2018-12-20,1828334,0,,2018-12-20T12:01:01Z,0000-00-00 00:00:00,52.194.82.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828432,2018-12-20,1828432,0,,2018-12-20T13:01:01Z,2018-12-19 12:42:45,60.198.152.130,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828439,2018-12-20,1828439,0,,2018-12-20T13:01:01Z,2018-12-19 12:46:12,13.250.126.119,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828447,2018-12-20,1828447,0,,2018-12-20T13:01:01Z,0000-00-00 00:00:00,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828464,2018-12-20,1828464,0,,2018-12-20T13:01:01Z,0000-00-00 00:00:00,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828470,2018-12-20,1828470,0,,2018-12-20T14:01:01Z,0000-00-00 00:00:00,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828594,2018-12-20,1828594,0,,2018-12-20T14:01:01Z,2018-12-19 13:44:18,60.198.152.131,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828610,2018-12-20,1828610,0,,2018-12-20T14:01:01Z,2018-12-19 13:41:33,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828690,2018-12-20,1828690,0,,2018-12-20T14:01:01Z,0000-00-00 00:00:00,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828743,2018-12-20,1828743,0,,2018-12-20T15:01:01Z,0000-00-00 00:00:00,182.16.51.130,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828795,2018-12-20,1828795,0,,2018-12-20T15:01:01Z,0000-00-00 00:00:00,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828824,2018-12-20,1828824,0,,2018-12-20T15:01:01Z,2018-12-19 14:30:10,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828851,2018-12-20,1828851,0,,2018-12-20T15:01:01Z,0000-00-00 00:00:00,175.98.118.203,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828921,2018-12-20,1828921,0,,2018-12-20T15:01:01Z,0000-00-00 00:00:00,54.95.58.7,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1828982,2018-12-20,1828982,0,,2018-12-20T16:01:01Z,0000-00-00 00:00:00,13.251.15.192,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1829022,2018-12-20,1829022,0,,2018-12-20T16:01:01Z,0000-00-00 00:00:00,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1829057,2018-12-20,1829057,0,,2018-12-20T16:01:01Z,0000-00-00 00:00:00,175.98.118.200,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1829074,2018-12-20,1829074,0,,2018-12-20T16:01:01Z,2018-12-19 15:28:09,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1829127,2018-12-20,1829127,0,,2018-12-20T16:01:01Z,0000-00-00 00:00:00,13.112.206.207,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1829146,2018-12-20,1829146,0,,2018-12-20T16:01:01Z,2018-12-19 15:45:06,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1829159,2018-12-20,1829159,0,,2018-12-20T16:01:01Z,0000-00-00 00:00:00,206.161.248.68,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1829200,2018-12-20,1829200,0,,2018-12-20T16:01:01Z,0000-00-00 00:00:00,54.95.58.7,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1829237,2018-12-20,1829237,0,,2018-12-20T17:01:02Z,2018-12-19 16:03:59,60.198.152.130,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1829933,2018-12-20,1829933,0,,2018-12-20T17:01:02Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1831478,2018-12-20,1831478,0,,2018-12-20T17:01:02Z,0000-00-00 00:00:00,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1831499,2018-12-20,1831499,0,,2018-12-20T18:01:01Z,2018-12-19 16:58:35,52.193.125.34,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1831687,2018-12-20,1831687,0,,2018-12-20T18:01:01Z,0000-00-00 00:00:00,175.98.118.198,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1831782,2018-12-20,1831782,0,,2018-12-20T20:01:01Z,0000-00-00 00:00:00,182.16.51.130,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1831796,2018-12-20,1831796,0,,2018-12-20T19:01:01Z,0000-00-00 00:00:00,175.98.118.199,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1831833,2018-12-20,1831833,0,,2018-12-20T19:01:01Z,2018-12-19 18:18:48,202.88.97.100,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1831865,2018-12-20,1831865,0,,2018-12-20T19:01:01Z,0000-00-00 00:00:00,54.95.58.7,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1831922,2018-12-20,1831922,0,,2018-12-20T19:01:01Z,0000-00-00 00:00:00,175.98.118.204,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1831929,2018-12-20,1831929,0,,2018-12-20T19:01:01Z,0000-00-00 00:00:00,13.230.124.23,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1831960,2018-12-20,1831960,0,,2018-12-20T19:01:01Z,0000-00-00 00:00:00,202.134.85.212,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832011,2018-12-20,1832011,0,,2018-12-20T19:01:01Z,2018-12-19 18:57:06,118.107.177.208,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832100,2018-12-20,1832100,0,,2018-12-20T20:01:01Z,0000-00-00 00:00:00,54.95.58.7,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832161,2018-12-20,1832161,0,,2018-12-20T20:01:01Z,0000-00-00 00:00:00,54.95.58.7,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832204,2018-12-20,1832204,0,,2018-12-20T20:01:01Z,2018-12-19 19:32:14,175.98.118.198,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832238,2018-12-20,1832238,0,,2018-12-20T20:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832301,2018-12-20,1832301,0,,2018-12-20T20:01:01Z,2018-12-19 19:52:43,47.52.162.61,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832329,2018-12-20,1832329,0,,2018-12-20T20:01:01Z,0000-00-00 00:00:00,175.98.118.203,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832360,2018-12-20,1832360,0,,2018-12-20T21:01:01Z,0000-00-00 00:00:00,47.52.162.61,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832395,2018-12-20,1832395,0,,2018-12-20T21:01:01Z,0000-00-00 00:00:00,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832424,2018-12-20,1832424,0,,2018-12-20T21:01:01Z,2018-12-19 20:13:39,47.52.200.196,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832535,2018-12-20,1832535,0,,2018-12-20T21:01:01Z,0000-00-00 00:00:00,13.250.126.119,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832554,2018-12-20,1832554,0,,2018-12-20T22:01:02Z,2018-12-19 21:18:50,118.107.178.93,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
1832612,2018-12-20,1832612,0,,2018-12-20T21:01:01Z,0000-00-00 00:00:00,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-22T00:35:17Z
