seq,deliverable,grain,column_name,column_role,statistical_class,lineage_stability,determinism,regression_tolerance,introduced_in,admissible_as_typology_input,note,registry_version
16,075 S01_player_score.csv,member_id,人工标记史,METRIC,A1a,NON_FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,NO,源表 ods_a168_log_mem_change 未纳入快照冻结；HF9d→HF9e→HF9f 三次运行持续变动（最大相对差 18.75%）,v2.0
17,075 S01_player_score.csv,member_id,投注产品结构熵,METRIC,A1b,FROZEN,FLOAT_LAST_BIT,IEEE754/ROUND 末位；相对差须 = 0.0000%,HF9e,YES,数学等价，浮点末位可变,v2.0
18,075 S01_player_score.csv,member_id,索提诺稳定性,METRIC,A1b,FROZEN,FLOAT_LAST_BIT,IEEE754/ROUND 末位；相对差须 = 0.0000%,HF9e,YES,数学等价，浮点末位可变,v2.0
19,075 S01_player_score.csv,member_id,生命周期阶段,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
20,075 S01_player_score.csv,member_id,stake,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
21,075 S01_player_score.csv,member_id,valid_bet,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
22,075 S01_player_score.csv,member_id,profit,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
23,075 S01_player_score.csv,member_id,n_bets,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
24,075 S01_player_score.csv,member_id,n_rounds,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
25,075 S01_player_score.csv,member_id,roi,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
26,075 S01_player_score.csv,member_id,roi_recent,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
27,075 S01_player_score.csv,member_id,roi_non_recent,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
28,075 S01_player_score.csv,member_id,roi_ex_rebate,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
29,075 S01_player_score.csv,member_id,roi_numerator,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
30,075 S01_player_score.csv,member_id,roi_denominator,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
31,075 S01_player_score.csv,member_id,roi_denominator_status,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
32,075 S01_player_score.csv,member_id,rebate_cost,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
33,075 S01_player_score.csv,member_id,cost_complement_b,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
34,075 S01_player_score.csv,member_id,pct_complement,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
35,075 S01_player_score.csv,member_id,pct_top_bet23,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
36,075 S01_player_score.csv,member_id,agent_formula_version,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
37,075 S01_player_score.csv,member_id,agent_level_scope,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
38,075 S01_player_score.csv,member_id,agent_cost_lv1,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
39,075 S01_player_score.csv,member_id,agent_cost_lv2,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
40,075 S01_player_score.csv,member_id,agent_cost_lv3,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
41,075 S01_player_score.csv,member_id,agent_cost_lv4,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
42,075 S01_player_score.csv,member_id,agent_cost_lv5,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
43,075 S01_player_score.csv,member_id,agent_pct_lv1,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
44,075 S01_player_score.csv,member_id,agent_pct_lv2,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
45,075 S01_player_score.csv,member_id,agent_pct_lv3,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
46,075 S01_player_score.csv,member_id,agent_pct_lv4,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
47,075 S01_player_score.csv,member_id,agent_pct_lv5,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
48,075 S01_player_score.csv,member_id,retain_pct_lv1,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
49,075 S01_player_score.csv,member_id,retain_pct_lv2,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
50,075 S01_player_score.csv,member_id,retain_pct_lv3,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
51,075 S01_player_score.csv,member_id,retain_pct_lv4,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
52,075 S01_player_score.csv,member_id,retain_pct_lv5,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
53,075 S01_player_score.csv,member_id,chain_depth_avg,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
54,075 S01_player_score.csv,member_id,agent_cost_chain_additive,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
55,075 S01_player_score.csv,member_id,agent_cost_chain_nested,METRIC,A1b,FROZEN,FLOAT_LAST_BIT,IEEE754/ROUND 末位；相对差须 = 0.0000%,HF9e,YES,数学等价，浮点末位可变,v2.0
56,075 S01_player_score.csv,member_id,residual_chain_additive,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
57,075 S01_player_score.csv,member_id,residual_chain_nested,METRIC,A1b,FROZEN,FLOAT_LAST_BIT,IEEE754/ROUND 末位；相对差须 = 0.0000%,HF9e,YES,数学等价，浮点末位可变,v2.0
58,075 S01_player_score.csv,member_id,decision_status,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
59,075 S01_player_score.csv,member_id,admit_to_risk_decision,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
60,075 S01_player_score.csv,member_id,deliverable_class,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
61,075 S01_player_score.csv,member_id,agent_cost_a_legacy,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
62,075 S01_player_score.csv,member_id,agent_cost_valid_base_legacy,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
63,075 S01_player_score.csv,member_id,ngr,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
64,075 S01_player_score.csv,member_id,residual_b,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
65,075 S01_player_score.csv,member_id,residual_a,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
66,075 S01_player_score.csv,member_id,ngr_rate,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
67,075 S01_player_score.csv,member_id,residual_b_rate,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
68,075 S01_player_score.csv,member_id,agent_cost_bet23_formal_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
69,075 S01_player_score.csv,member_id,net_margin_bet23_formal_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
70,075 S01_player_score.csv,member_id,net_margin_bet23_formal_rate_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
71,075 S01_player_score.csv,member_id,agent_cost_lv1_bet23_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
72,075 S01_player_score.csv,member_id,agent_cost_lv2_bet24_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
73,075 S01_player_score.csv,member_id,agent_cost_lv3_bet25_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
74,075 S01_player_score.csv,member_id,agent_cost_lv4_bet26_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
75,075 S01_player_score.csv,member_id,agent_cost_lv5_bet27_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
76,075 S01_player_score.csv,member_id,net_margin_lv1_bet23_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
77,075 S01_player_score.csv,member_id,net_margin_lv1_bet23_rate_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
78,075 S01_player_score.csv,member_id,agent_cost_chain_additive_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
79,075 S01_player_score.csv,member_id,agent_cost_chain_nested_canonical,METRIC,A1b,FROZEN,FLOAT_LAST_BIT,IEEE754/ROUND 末位；相对差须 = 0.0000%,HF9e,YES,数学等价，浮点末位可变,v2.0
80,075 S01_player_score.csv,member_id,net_margin_chain_additive_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
81,075 S01_player_score.csv,member_id,net_margin_chain_nested_canonical,METRIC,A1b,FROZEN,FLOAT_LAST_BIT,IEEE754/ROUND 末位；相对差须 = 0.0000%,HF9e,YES,数学等价，浮点末位可变,v2.0
82,075 S01_player_score.csv,member_id,net_margin_chain_additive_rate_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
83,075 S01_player_score.csv,member_id,net_margin_chain_nested_rate_canonical,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
84,075 S01_player_score.csv,member_id,residual_a_rate,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
85,075 S01_player_score.csv,member_id,avg_stake_per_bet,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
86,075 S01_player_score.csv,member_id,avg_valid_bet_per_round,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
87,075 S01_player_score.csv,member_id,avg_profit_per_round,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
88,075 S01_player_score.csv,member_id,avg_profit_per_day,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
89,075 S01_player_score.csv,member_id,avg_profit_per_shoe,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
90,075 S01_player_score.csv,member_id,avg_stake_per_active_day,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
91,075 S01_player_score.csv,member_id,avg_rounds_per_active_day,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
92,075 S01_player_score.csv,member_id,avg_stake_recent,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
93,075 S01_player_score.csv,member_id,avg_stake_non_recent,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
94,075 S01_player_score.csv,member_id,p25_stake,METRIC,A2,FROZEN,NON_DETERMINISTIC,相对差 ≤0.5% 且不同行 ≤5,HF9e,NO,PERCENTILE_APPROX 派生,v2.0
95,075 S01_player_score.csv,member_id,p50_stake,METRIC,A2,FROZEN,NON_DETERMINISTIC,相对差 ≤0.5% 且不同行 ≤5,HF9e,NO,PERCENTILE_APPROX 派生,v2.0
96,075 S01_player_score.csv,member_id,p75_stake,METRIC,A2,FROZEN,NON_DETERMINISTIC,相对差 ≤0.5% 且不同行 ≤5,HF9e,NO,PERCENTILE_APPROX 派生,v2.0
97,075 S01_player_score.csv,member_id,p90_stake,METRIC,A2,FROZEN,NON_DETERMINISTIC,相对差 ≤0.5% 且不同行 ≤5,HF9e,NO,PERCENTILE_APPROX 派生,v2.0
98,075 S01_player_score.csv,member_id,p95_stake,METRIC,A2,FROZEN,NON_DETERMINISTIC,相对差 ≤0.5% 且不同行 ≤5,HF9e,NO,PERCENTILE_APPROX 派生,v2.0
99,075 S01_player_score.csv,member_id,p99_stake,METRIC,A2,FROZEN,NON_DETERMINISTIC,相对差 ≤0.5% 且不同行 ≤5,HF9e,NO,PERCENTILE_APPROX 派生,v2.0
100,075 S01_player_score.csv,member_id,p50_valid_bet,METRIC,A2,FROZEN,NON_DETERMINISTIC,相对差 ≤0.5% 且不同行 ≤5,HF9e,NO,PERCENTILE_APPROX 派生,v2.0
101,075 S01_player_score.csv,member_id,p50_profit,METRIC,A2,FROZEN,NON_DETERMINISTIC,相对差 ≤0.5% 且不同行 ≤5,HF9e,NO,PERCENTILE_APPROX 派生,v2.0
102,075 S01_player_score.csv,member_id,p95_over_p50,METRIC,A2,FROZEN,NON_DETERMINISTIC,相对差 ≤0.5% 且不同行 ≤5,HF9e,NO,PERCENTILE_APPROX 派生,v2.0
103,075 S01_player_score.csv,member_id,p99_over_p50,METRIC,A2,FROZEN,NON_DETERMINISTIC,相对差 ≤0.5% 且不同行 ≤5,HF9e,NO,PERCENTILE_APPROX 派生,v2.0
104,075 S01_player_score.csv,member_id,avg_over_p50,METRIC,A2,FROZEN,NON_DETERMINISTIC,相对差 ≤0.5% 且不同行 ≤5,HF9e,NO,PERCENTILE_APPROX 派生,v2.0
105,075 S01_player_score.csv,member_id,common_table_count,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
106,075 S01_player_score.csv,member_id,common_dealer_count,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
107,075 S01_player_score.csv,member_id,common_ip_count,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
108,075 S01_player_score.csv,member_id,common_product_count,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
109,075 S01_player_score.csv,member_id,share_recent,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
110,075 S01_player_score.csv,member_id,hold_rate,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
111,075 S01_player_score.csv,member_id,hold_rate_recent,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
112,075 S01_player_score.csv,member_id,rebate_rate_actual,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
113,075 S01_player_score.csv,member_id,rebate_pct_config,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
114,075 S01_player_score.csv,member_id,turnover_multiple,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
115,075 S01_player_score.csv,member_id,free_comm_rate,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
116,075 S01_player_score.csv,member_id,roi_delta_recent,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
117,075 S01_player_score.csv,member_id,first_seen,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
118,075 S01_player_score.csv,member_id,last_seen,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
119,075 S01_player_score.csv,member_id,active_days,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
120,075 S01_player_score.csv,member_id,active_shoes,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
121,075 S01_player_score.csv,member_id,active_sessions,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
122,075 S01_player_score.csv,member_id,span_days,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
123,075 S01_player_score.csv,member_id,persistence,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
124,075 S01_player_score.csv,member_id,ramp_recent_vs_prior,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
125,075 S01_player_score.csv,member_id,ramp_recent_vs_all,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
126,075 S01_player_score.csv,member_id,stake_ramp,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
127,075 S01_player_score.csv,member_id,vip_tier,SCALE,B,FROZEN,NON_DETERMINISTIC,容许差异，血统五元组须自洽,HF9e,NO,总体相关 ＋ NTILE(5) 并列值边界分配非确定（HF9e→HF9f 实测 418 行相邻档互换）,v2.0
128,075 S01_player_score.csv,member_id,economic_value,SCALE,B,FROZEN,DETERMINISTIC,容许差异，血统五元组须自洽,HF9e,NO,总体相关,v2.0
129,075 S01_player_score.csv,member_id,roi_pr_global,SCALE,B,FROZEN,DETERMINISTIC,容许差异，血统五元组须自洽,HF9f,NO,总体相关,v2.0
130,075 S01_player_score.csv,member_id,risk_value,SCALE,B,FROZEN,DETERMINISTIC,容许差异，血统五元组须自洽,HF9e,NO,总体相关,v2.0
131,075 S01_player_score.csv,member_id,pr_stake,SCALE,B,FROZEN,DETERMINISTIC,容许差异，血统五元组须自洽,HF9e,NO,总体相关,v2.0
132,075 S01_player_score.csv,member_id,pr_global,SCALE,B,FROZEN,DETERMINISTIC,容许差异，血统五元组须自洽,HF9f,NO,总体相关,v2.0
133,075 S01_player_score.csv,member_id,pr_qualified,SCALE,B,FROZEN,DETERMINISTIC,容许差异，血统五元组须自洽,HF9f,NO,总体相关,v2.0
134,075 S01_player_score.csv,member_id,pr_qualified_population,LINEAGE,META,FROZEN,DETERMINISTIC,不比对,HF9f,YES,元数据/血统,v2.0
135,075 S01_player_score.csv,member_id,pr_global_population_n,LINEAGE,META,FROZEN,DETERMINISTIC,不比对,HF9f,YES,元数据/血统,v2.0
136,075 S01_player_score.csv,member_id,pr_qualified_population_n,LINEAGE,META,FROZEN,DETERMINISTIC,不比对,HF9f,YES,元数据/血统,v2.0
137,075 S01_player_score.csv,member_id,pr_calculation_method,LINEAGE,META,FROZEN,DETERMINISTIC,不比对,HF9f,YES,元数据/血统,v2.0
138,075 S01_player_score.csv,member_id,pr_calculation_version,LINEAGE,META,FROZEN,DETERMINISTIC,不比对,HF9f,YES,元数据/血统,v2.0
139,075 S01_player_score.csv,member_id,evidence_flag,EVIDENCE,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9f,YES,精确可复现,v2.0
140,075 S01_player_score.csv,member_id,evidence_rate,EVIDENCE,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9f,YES,精确可复现,v2.0
141,075 S01_player_score.csv,member_id,hold_ci_halfwidth_approx,EVIDENCE,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9f,YES,精确可复现,v2.0
142,075 S01_player_score.csv,member_id,action_priority,DECISION,B,FROZEN,DETERMINISTIC,容许差异，血统五元组须自洽,HF9e,NO,总体相关,v2.0
143,075 S01_player_score.csv,member_id,audit_rn,META,META,FROZEN,DETERMINISTIC,不比对,HF9e,YES,元数据/血统,v2.0
144,075 S01_player_score.csv,member_id,batch_id,META,META,FROZEN,DETERMINISTIC,不比对,HF9e,YES,元数据/血统,v2.0
145,075 S01_player_score.csv,member_id,run_id,META,META,FROZEN,DETERMINISTIC,不比对,HF9e,YES,元数据/血统,v2.0
146,075 S01_player_score.csv,member_id,snapshot_sync_time,META,META,FROZEN,DETERMINISTIC,不比对,HF9e,YES,元数据/血统,v2.0
